supplierId,supplierName,erpId,branchId,branchName,branchAddress,branchPhoneNumber,branchEmailAddress,omsEmailAddresses,omsPhoneNumbers,hoursMonday,hoursTuesday,hoursWednesday,hoursThursday,hoursFriday,hoursSaturday,hoursSunday,omsEnabled,isDeleted,createdDate,lastModifiedDate
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002GoiyNQAR,Sunstate Equipment - Houston East TX,"5121 Oates Road, Houston, Texas, United States, 77013",8558088875,dozr@sunstateequip.com,dozr@sunstateequip.com,,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.512Z,2025-05-02T14:46:27.291Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002GojULQAZ,Sunstate Equipment - Orlando FL,"9075 Sidney Hayes Road, Orlando, Florida, United States, 32824",8558088875,dozr@sunstateequip.com,"dozr@sunstateequip.com,cody.young@sunstateequip.com,marcus.vigiloliverio@sunstateequip.com",,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.717Z,2025-05-02T15:25:27.361Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002Gohz2QAB,Sunstate Equipment - Baldwin Park CA,"12905 Garvey Ave, Baldwin Park, United States, 91706",8558088875,dozr@sunstateequip.com,dozr@sunstateequip.com,,06:30-17:00,06:30-17:00,06:30-17:00,06:30-17:00,06:30-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.624Z,2025-04-21T17:57:50.936Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002GojZqQAJ,Sunstate Equipment - Pueblo CO,"4125 North Elizabeth Street, Pueblo, Colorado, United States, 81008",8558088875,dozr@sunstateequip.com,dozr@sunstateequip.com,,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.708Z,2025-03-26T09:45:43.708Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002GojH1QAJ,Sunstate Equipment - Oakland CA,"8001 Oakport Street, Oakland, California, United States, 94621",8558088875,dozr@sunstateequip.com,"dozr@sunstateequip.com,cody.young@sunstateequip.com,marcus.vigiloliverio@sunstateequip.com",,06:30-17:00,06:30-17:00,06:30-17:00,06:30-17:00,06:30-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.768Z,2025-04-29T14:30:32.541Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002GojBiQAJ,Sunstate Equipment - Memphis TN,"3017 Ferrell Park Cove, Memphis, Tennessee, United States, 38116",8558088875,dozr@sunstateequip.com,dozr@sunstateequip.com,,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.747Z,2025-04-18T16:08:47.573Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002GoiCaQAJ,Sunstate Equipment - Carrollton TX,"1110 West Jackson Road, Carrollton, Texas, United States, 75006",8558088875,dozr@sunstateequip.com,dozr@sunstateequip.com,,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.628Z,2025-05-02T20:03:23.489Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,00141000012IJ9GAAW,Sunstate Equipment - Phoenix AZ,"5425 East Washington Street, Phoenix, Arizona, United States, 85034",8558088875,dozr@sunstateequip.com,"dozr@sunstateequip.com,christopher.baker@sunstateequip.com,marcus.vigiloliverio@sunstateequip.com",,06:00-17:00,06:00-17:00,06:00-17:00,06:00-17:00,06:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.479Z,2025-04-18T17:53:27.139Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002DeddKQAR,Sunstate Equipment - Woodinville WA,"21818 76th Drive Southeast, Woodinville, Washington, United States, 98072",8558088875,brippentrop@sunstateequipment.com,"dozr@sunstateequip.com,cody.young@sunstateequip.com",,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.483Z,2025-04-29T21:10:11.705Z
5d3a12bb78f08d5e39d63ff2,Sunstate Equipment Co. ,,0011K00002GohuLQAR,Sunstate Equipment - Atlanta GA,"4460 Moreland Ave, Conley, United States, 30288",6782686590,dozr@sunstateequip.com,"dozr@sunstateequip.com,cindy.maestas@sunstateequip.com,marcus.vigiloliverio@sunstateequip.com,cody.young@sunstateequip.com",,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,,,TRUE,FALSE,2025-03-26T09:45:43.486Z,2025-03-26T09:45:43.486Z
