supplierId,supplierName,erpId,branchId,branchName,branchAddress,branchPhoneNumber,branchEmailAddress,omsEmailAddresses,omsPhoneNumbers,hoursMonday,hoursTuesday,hoursWednesday,hoursThursday,hoursFriday,hoursSaturday,hoursSunday,omsEnabled,isDeleted,createdDate,lastModifiedDate
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d70626fbbf3b0023485cbf,The Home Depot Rental 6851 - Kissimmee FL,"1651 S Poinciana Blvd, Kissimmee, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,TRUE,FALSE,2025-03-26T09:46:03.199Z,2025-05-02T15:10:27.160Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d5cde04b1d120021c7fab9,The Home Depot Rental 2579 - Halethorpe MD,"3750 Commerce Dr, Halethorpe, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,TRUE,FALSE,2025-03-26T09:46:01.875Z,2025-05-01T16:24:42.921Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d5fea7113f2600222055c7,The Home Depot Rental 4648 - Manassa VA,"8805 Liberia Ave, Manassas, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,TRUE,FALSE,2025-03-26T09:46:02.520Z,2025-03-31T15:02:15.864Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d5c522113f26002220460c,The Home Depot Rental 1861 - San Jose CA,"2181 Monterey St, San Jose, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,05:00-16:00,05:00-16:00,05:00-16:00,05:00-16:00,05:00-16:00,,,TRUE,FALSE,2025-03-26T09:46:01.763Z,2025-03-26T09:46:01.763Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d72923e884e400228a797c,The Home Depot Rental 8531 - Palatka FL,"417 FL-19, Palatka, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,TRUE,FALSE,2025-03-26T09:46:03.520Z,2025-04-01T16:31:20.148Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d5f6bd113f26002220533b,The Home Depot Rental 4104 - Lansdale PA,"751 Horsham Rd, Lansdale, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,TRUE,FALSE,2025-03-26T09:46:02.309Z,2025-03-26T09:46:02.309Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d71f83fbbf3b0023488227,The Home Depot Rental 8447 - Lady Lake FL,"871 US-27, Lady Lake, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,TRUE,FALSE,2025-03-26T09:46:03.472Z,2025-03-26T09:46:03.472Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d629eee884e400228a2781,The Home Depot Rental 6615 - Visalia CA,"3500 S Demaree St, Visalia, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,05:00-16:00,05:00-16:00,05:00-16:00,05:00-16:00,05:00-16:00,,,TRUE,FALSE,2025-03-26T09:46:03.015Z,2025-03-26T09:46:03.015Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d718b73e19ba00218e3c8e,The Home Depot Rental 6950 - Punta Gorda FL,"3941 Tamiami Trl, Punta Gorda, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,TRUE,FALSE,2025-03-26T09:46:03.371Z,2025-03-26T09:46:03.371Z
66d0857ee58e19001e643d04,The Home Depot Rental ,,66d7083a4b1d120021c8560d,The Home Depot Rental 6892 - Austin TX,"1200 Barbara Jordan Blvd, Austin, US",8887309287,thdrentalkeyaccount@homedepot.com,thdrentalkeyaccount@homedepot.com,,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,,,TRUE,FALSE,2025-03-26T09:46:03.292Z,2025-03-31T16:32:17.376Z
