Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total
BX6HH7Q,"Tejas Equipment Rental - Houston TX ","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2026-01-19,2026-01-19,2026-01-26,1080
TVGJYPK,"Aerial Plus - Burlington ON","Electric Scissor Lift, 40 ft (Indoor Use Only)",2026-01-19,2026-01-20,2026-01-21,168
PHJEZHQ,"Sunstate Equipment - San Jose CA","Custom/Other",2026-01-19,2026-01-19,2026-01-26,640
25BLDPQ,"Sunstate Equipment - Phoenix AZ","Backhoe, 70 hp+",2026-01-19,2026-01-20,2026-02-16,2200
QWAX3R8,"Equipment Share","Custom/Other",2026-01-16,2026-01-19,2026-02-16,1412
K9Q566G,"CONEQ Rentals - Woodbridge ON","Telehandler Reach Forklift, 6000 lbs, 32 - 39 ft",2026-01-16,2026-01-20,2026-01-23,1540
H7DA6Q4,"Aerial Plus - Burlington ON","Custom/Other",2026-01-16,2026-01-19,2026-01-26,720
PJRZE8B,"Peterson Machinery Company - Salem, OR","Electric Scissor Lift, 32 ft (Indoor Use Only)",2026-01-16,2026-01-19,2026-02-06,952
Y87UXQP,"Sunstate Equipment - Rio Rancho NM","Custom/Other",2026-01-16,2026-01-17,2026-01-18,328
XY429V9,"Equipment Share","Custom/Other",2026-01-15,2026-01-16,2026-01-23,803
AF24PXA,"Continental Lift Truck - New York NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-15,2026-01-19,2026-01-26,278.59
LVGJAT5,"All Pro Lift and Equipment LLC - Phoenix AZ","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2026-01-15,2026-01-28,2026-02-25,3356
QF2E7K2,"Cooke Rentals - Denver NC","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2026-01-15,2026-01-16,2026-01-17,410
6F35TEF,"Synergy Equipment - Houston TX","Straight Boom Lift, 60 ft, Dual Fuel/Diesel",2026-01-15,2026-01-19,2026-01-20,455
BUFEP4G,"Powertrip Rentals - Signal Hill CA","Custom/Other",2026-01-15,2026-01-15,2026-01-22,250
4JQS7EV,"Powertrip Rentals - Signal Hill CA","Custom/Other",2026-01-15,2026-01-15,2026-01-22,250
Z7JCAE4,"Best Rental Services Inc - Vaughan ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-15,2026-01-16,2026-01-30,600
3QYCR7Y,"Aerial Plus - Burlington ON","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2026-01-15,2026-01-15,2026-01-22,876
SXXUSTD,"Riggs Cat - Benton AR","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-15,2026-01-15,2026-01-16,170
DQL8A6K,"Equipment Share","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2026-01-14,2026-01-15,2026-01-22,2815
BVLUGP6,"Con-Verge Sales & Rentals LLC - Hershey PA","Custom/Other",2026-01-14,2026-01-17,2026-01-18,280
3SA2C7G,"Equipment Share","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2026-01-14,2026-01-16,2026-01-23,1188
PFKXVJ2,"Equipment Share - Memphis TN","Excavator, 15 ton+",2026-01-14,2026-01-16,2026-01-17,728
2YL4GW5,"Aerial Plus - Burlington ON","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-01-14,2026-01-16,2026-01-17,156
P45PWGK,"CONEQ Rentals - Woodbridge ON","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2026-01-14,2026-01-16,2026-01-17,455
YXC4PA8,"Illinois Lift Equipment - Cary IL","Custom/Other",2026-01-14,2026-01-16,2026-01-17,800
77QXQ5E,"Sunstate Equipment - Saint Gabriel LA","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2026-01-14,2026-01-15,2026-01-16,600
RTLPQ8A,"Cropac Equipment Inc","Custom/Other",2026-01-14,2026-01-14,2026-01-16,2800
6XLBGYF,"Herc Rentals (9371) Sarasota, FL","Backhoe, 70 hp+",2026-01-14,2026-01-15,2026-01-16,490
DLWZZ95,"Chet's Rent-All - Oak Park MI","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-13,2026-01-19,2026-01-26,305
GVTE9D2,"Chet's Rent-All - Oak Park MI","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-13,2026-01-19,2026-01-26,305
DSCCCRF,"Action Lift, Inc - Leander TX","Pneumatic Tire Forklift, 8000 lbs",2026-01-13,2026-01-14,2026-02-11,2297
7BD6L6P,"Dickie Moore Rentals - Ottawa ON","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2026-01-13,2026-01-16,2026-01-17,625
WFKPHX5,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 32 ft (Indoor Use Only)",2026-01-13,2026-01-15,2026-01-16,300
C5F2QV7,"Yancey Cat - Kennesaw GA","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2026-01-13,2026-01-16,2026-01-23,1700
K3KKZDR,"Synergy Equipment - Hutchins TX","Custom/Other",2026-01-13,2026-01-19,2026-02-16,695
LQX72LJ,"Beach City Lift - Phoenix AZ","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2026-01-13,2026-01-15,2026-01-16,117.6
DJJ89KC,"Sunstate Equipment - Balch Springs TX","Backhoe, 70 hp+",2026-01-13,2026-01-13,2026-01-19,895
K4SW69D,"Sunstate Equipment - Tucson AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-13,2026-01-13,2026-01-15,260
35FFB7Z,"Sunstate Equipment - Tucson AZ","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-01-13,2026-01-13,2026-01-15,400
LT2U7QJ,"Eastern Highreach Company Inc. - Horsham PA","Rough Terrain Scissor Lift, 26 ft",2026-01-13,2026-01-15,2026-01-22,525
XLZVABL,"Sunstate Equipment - Balch Springs TX","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-13,2026-01-19,2026-02-15,366
EG7JGPD,"Sunstate Equipment - Balch Springs TX","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-13,2026-01-19,2026-02-15,366
Z6B8UJR,"Arapahoe Rental - Westminster CO","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2026-01-12,2026-01-21,2026-01-22,560
8JY9CRB,"Total Rental - Phoenixville PA","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2026-01-12,2026-01-13,2026-01-20,875
DUW5JED,"Herc Rentals (9423) - Springfield MO","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-12,2026-01-12,2026-01-19,200
Q8TD6JW,"Sunstate Equipment - Conroe TX","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2026-01-12,2026-01-13,2026-01-19,1000
RUQWY9Q,"Miami Dade Equipments - Hialeah FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-12,2026-01-12,2026-01-18,400
JBVDDVD,"Wilson Equipment - Central Point, OR","Custom/Other",2026-01-09,2026-01-12,2026-01-19,1050
DP7UFJJ,"Wilson Equipment - Central Point, OR","Custom/Other",2026-01-09,2026-01-12,2026-01-19,1150
W3PGX84,"Porter Rents - Lakeside CA","Backhoe, 70 hp+",2026-01-09,2026-01-14,2026-01-15,294.7
XFZE9EZ,"Worldwide Forklifts - Fort Lauderdale FL","Cushion Tire Forklift, 15,000 lbs (Indoor Use Only)",2026-01-09,2026-01-12,2026-01-13,350
Q9Q7YU3,"Equipment Share","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-09,2026-01-12,2026-01-19,516
QSJ7BSH,"Equipment Share","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-09,2026-01-12,2026-01-19,516
ECU7UX8,"Equipment Share","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2026-01-09,2026-01-12,2026-01-19,1777.5
YRH3AJT,"Sunstate Equipment - Dallas TX (Duncanville)","Soil Compaction Pad Foot, 84 inches+",2026-01-09,2026-01-13,2026-01-20,1890
9Q2WSKR,"Illinois Lift Equipment - Cary IL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-09,2026-01-13,2026-01-16,190
V39TQU5,"Illinois Lift Equipment - Cary IL","Cushion Tire Forklift, 15,000 lbs (Indoor Use Only)",2026-01-09,2026-01-13,2026-01-16,850
JVTH78R,"Illinois Lift Equipment - Cary IL","Cushion Tire Forklift, 15,000 lbs (Indoor Use Only)",2026-01-09,2026-01-13,2026-01-16,300
F7E79H4,"Sunstate Equipment - Charlotte NC","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-09,2026-01-12,2026-02-09,429
8U88R4H,"Sunstate Equipment - Charlotte NC","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-09,2026-01-12,2026-02-09,429
HAH3C4Y,"Lou-Tec - Joliette QC","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-09,2026-01-13,2026-01-14,200
9GD3FV6,"Illinois Lift Equipment - Cary IL","Electric Articulating Boom Lift, 30 ft",2026-01-09,2026-01-12,2026-01-13,210.75
B67FW44,"GMW Equipment - San Juan TX","Dozer, 20,000 lbs+",2026-01-09,2026-01-10,2026-01-16,0
LKUKU6F,"Palm Beach Equipment Rentals - Delray Beach FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-09,2026-01-09,2026-01-11,500
PJL3FCY,"Equipment Share","Custom/Other",2026-01-08,2026-01-09,2026-01-16,149.76
73V7PWC,"Equipment Share","Custom/Other",2026-01-08,2026-01-09,2026-01-16,1473
DFVKQ5K,"U-Rent It Sales & Service - Rockwall TX","Custom/Other",2026-01-08,2026-01-09,2026-01-16,30
HVAUD73,"U-Rent It Sales & Service - Rockwall TX","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-01-08,2026-01-09,2026-01-16,750
8DZA9QZ,"Continental Lift Truck - New York NY","Rough Terrain Scissor Lift, 32 ft",2026-01-08,2026-01-18,2026-01-20,469
R39JXGS,"MacAllister Rentals - Fort Wayne IN","Pneumatic Tire Forklift, 5000 lbs",2026-01-08,2026-01-16,2026-01-23,696
4F2X6XQ,"Sunstate Equipment - Raleigh (Garner) NC","Custom/Other",2026-01-08,2026-01-09,2026-01-10,200
4D3XQDG,"Skyblack Rentals - Houston TX","Custom/Other",2026-01-08,2026-01-08,2026-01-09,790
LDCP746,"Skye Heavy Equipment Rentals - Asheboro NC","Articulated Dump Truck, 30 ton+",2026-01-08,2026-01-12,2026-02-09,8500
LQ6WULF,"GMW Equipment - San Juan TX","Dozer, 15,000 lbs+",2026-01-07,2026-01-08,2026-01-14,0
4JSFGT6,"Lift X Rentals - Palmetto FL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-07,2026-01-12,2026-01-18,168.7
W67GFYA,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-07,2026-01-08,2026-02-04,460
FZD72X7,"Sunstate Equipment - Portland OR","Custom/Other",2026-01-07,2026-01-09,2026-01-16,640
6ZSUHJX,"Sunstate Equipment - Portland OR","Custom/Other",2026-01-07,2026-01-09,2026-01-16,640
9SQ9G7C,"Sunstate Equipment - Portland OR","Custom/Other",2026-01-07,2026-01-09,2026-01-16,640
GT3ESPD,"Sunstate Equipment - Portland OR","Custom/Other",2026-01-07,2026-01-09,2026-01-16,640
2F3KT49,"Skyblack Rentals - Houston TX","Electric Scissor Lift, 32 ft (Indoor Use Only)",2026-01-07,2026-01-08,2026-01-10,434
F8HUHFR,"Construction Equipment & Supply - Sandusky OH","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-07,2026-01-08,2026-01-15,300
5LX7DP8,"UpLift Equipment Rentals - Medley Fl","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-07,2026-01-08,2026-01-10,300
EKDTTPY,"Leppo Rents (Bobcat of Jacksonville) - Jacksonville FL","Mini Excavator, 6 ton",2026-01-07,2026-01-07,2026-01-09,720
LLZEZKT,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2026-01-07,2026-01-08,2026-01-10,250.4
HTZ7T3U,"Carolina Industrial Trucks - West Columbia SC","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2026-01-07,2026-01-08,2026-01-15,650
QZ8D6RP,"Carolina Industrial Trucks - West Columbia SC","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2026-01-07,2026-01-08,2026-01-15,650
XD3YXZA,"Equipment Share","Electric Scissor Lift, 32 ft (Indoor Use Only)",2026-01-07,2026-01-07,2026-01-08,362.48
9CG2SKJ,"Sunstate Equipment - Las Vegas (Henderson) NV","Electric Scissor Lift, 20 ft (Indoor Use Only)",2026-01-07,2026-01-07,2026-01-14,260
9AP45Y4,"Sunstate Equipment - Las Vegas (Henderson) NV","Electric Scissor Lift, 20 ft (Indoor Use Only)",2026-01-07,2026-01-07,2026-01-14,260
Z73VZKZ,"H&K EQUIPMENT INC - CORAOPOLIS, PA","Cushion Tire Forklift, 40,000 - 60,000 lbs (Indoor Use Only)",2026-01-06,2026-01-07,2026-01-09,3600
2EVFXCU,"All Pro Lift and Equipment LLC - Phoenix AZ","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-01-06,2026-01-08,2026-01-09,135
K8PUY9B,"Sunstate Equipment - Mead CO","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-06,2026-01-08,2026-01-14,370
4VDCHK3,"Powertrip Rentals - Signal Hill CA","Custom/Other",2026-01-06,2026-01-08,2026-01-09,300
KSWH34D,"Sunstate Equipment - Reno NV","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2026-01-06,2026-01-07,2026-02-03,1000
TGUVKVH,"Continental Lift Truck - New York NY","Scissor Lift, Vertical Man Lift",2026-01-06,2026-01-06,2026-01-07,99
UQZPCGX,"Leppo Rents (Bobcat of Jacksonville) - Jacksonville FL","Mini Excavator, 2 ton",2026-01-06,2026-01-06,2026-02-03,1400
ASHKLT8,"Equipment Share","Telehandler Reach Forklift, 6000 lbs, 32 - 39 ft",2026-01-05,2026-01-06,2026-01-07,599
V36HVDK,"Equipment Share","Custom/Other",2026-01-05,2026-01-06,2026-02-02,1142
A4C7Q4A,"Continental Lift Truck - New York NY","Custom/Other",2026-01-05,2026-01-06,2026-01-13,199
QYFVALJ,"Equipment Share - Fort Worth (South) TX","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-05,2026-01-19,2026-01-23,411
8JYGR4A,"Equipment Share","Telehandler Reach Forklift, 10000 lbs, 50 - 56 ft",2026-01-05,2026-01-02,2026-01-30,3952
VX7T923,"Skyblack Rentals - Houston TX","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-03,2026-01-07,2026-01-14,301.6
3EDYAHA,"Renegade Rentals LLC - Brigham City UT","Electric Scissor Lift, 26 ft (Indoor Use Only)",2026-01-02,2026-01-12,2026-01-13,177.8
UVA4AKE,"Sunstate Equipment - Denver CO","Custom/Other",2026-01-02,2026-01-02,2026-01-03,200
WVCP8C3,"Puckett Machinery CAT (Corp) - Richland MS","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2026-01-02,2026-01-05,2026-01-06,393.4
C9JBKBB,"Illinois Lift Equipment - Cary IL","Pneumatic Tire Forklift, 5000 lbs",2026-01-02,2026-01-07,2026-01-08,235.2
R7ZU78G,"Stoney Creek Equipment Rentals - Hamilton ON","Custom/Other",2026-01-02,2026-01-05,2026-04-20,6400
5H9CKPA,"Area Rentals Inc - Hillside NJ","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2026-01-02,2026-01-05,2026-01-06,890
WXG2WTT,"Sunstate Equipment - Denver CO","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-31,2026-01-09,2026-01-16,450
YXYC9SS,"Equipment Share","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2025-12-31,2026-03-02,2026-03-03,866.4
J3JUS84,"Equipment Share","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-31,2026-01-05,2026-01-11,341.28
DDUJFSU,"JAC Rentals - Beaumont TX","Dozer, 15,000 lbs+",2025-12-31,2026-01-02,2026-01-04,1560
Q3GCAWT,"Trinity Equipment Rentals - Colton CA","Excavator, 15 ton+",2025-12-30,2026-01-05,2026-01-12,1396
D3KKTXL,"Sunstate Equipment - San Antonio TX","Electric Articulating Boom Lift, 45 ft",2025-12-30,2026-01-05,2026-01-12,950
YY9GQ6B,"Conway Rental Centre - Conway SC","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-12-30,2026-01-05,2026-01-06,446
4KGFVLB,"Sunstate Equipment - Tucson AZ","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-30,2026-01-05,2026-01-09,500
LDXGVZ7,"Sunstate Equipment - Benicia CA","Electric Articulating Boom Lift, 45 ft",2025-12-30,2025-12-31,2026-01-01,355
X67HHX3,"Rental Pro - Richmond KY","Custom/Other",2025-12-29,2026-01-02,2026-01-16,0
WEDEDHK,"Rental Pro - Richmond KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-29,2026-01-02,2026-01-16,1500
QVBCVYV,"Carter Cat - Sterling VA","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-29,2025-12-30,2025-12-31,193
BDA836C,"Trinity Equipment Rentals - Colton CA","Excavator, 15 ton+",2025-12-29,2025-12-30,2025-12-31,399
FLCW9SH,"Border Equipment (Bobcat of Augusta) - Augusta GA","Backhoe, 90 hp+",2025-12-29,2025-12-30,2025-12-31,575
RTLBYWA,"Sunstate Equipment - Balch Springs TX","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-27,2026-01-05,2026-01-09,450.4
BJQVBDT,"Area Rentals Inc - Hillside NJ","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2025-12-26,2025-12-29,2025-12-30,890
FQT57BC,"Illinois Lift Equipment - Cary IL","Pneumatic Tire Forklift, 5000 lbs",2025-12-26,2025-12-29,2025-12-30,235.2
ESLZ6Z7,"NAM Rentals - Toronto ON","Electric Scissor Lift, 20 ft (Indoor Use Only)",2025-12-24,2026-01-05,2026-01-05,0
YKW5D2A,"Pioneer Equipment Company - Jacksonville FL","Dozer, 20,000 lbs+",2025-12-23,2025-12-29,2026-01-21,4500
YSR9DWV,"The Rental Hub - Wytheville, VA","Mini Excavator, 3 ton",2025-12-23,2026-01-02,2026-01-09,1000
Y54QGRL,"Continental Lift Truck - New York NY","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-12-22,2025-12-29,2026-01-05,799
QCCHHZF,"Rent Rite - Alma MI","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-22,2025-12-22,2025-12-23,105.7
CETUH7Y,"Aerial Plus - Burlington ON","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-22,2025-12-23,2025-12-29,340
2U27JG3,"Evcon Rentals","Tracked Skid Steer, 2200 lbs",2025-12-19,2025-12-22,2025-12-28,1275
KHR8BGD,"Parks Rental & Sales Inc","Towable Boom Lift, 36 ft",2025-12-19,2025-12-20,2025-12-21,290
HGGHFVF,"Naumann Hobbs Material Handling - Las Vegas NV","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-12-19,2025-12-22,2026-01-19,653.1
Y32Q7FC,"Strobel's Rentals - East Side Great Falls MT","Custom/Other",2025-12-19,2026-01-05,2026-01-18,150
KV7DH95,"Strobel's Rentals - East Side Great Falls MT","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-19,2026-01-05,2026-01-18,1600
P443AEB,"Sunstate Equipment - Odessa TX","Custom/Other",2025-12-19,2025-12-22,2025-12-23,1400
T773CJ5,"Bobcat of Toronto - Brampton ON","Excavator, 15 ton+",2025-12-19,2025-12-19,2025-12-26,3000
LCD78Q2,"Evcon Rentals","Telehandler Reach Forklift, 6000 lbs, 32 - 39 ft",2025-12-19,2025-12-19,2025-12-25,1350
3RKRAR7,"Evcon Rentals","Custom/Other",2025-12-19,2025-12-19,2025-12-25,1005
LZWVTK5,"Evcon Rentals","Mini Excavator, 4 ton",2025-12-19,2025-12-19,2025-12-25,1275
STKLTVH,"Carolina Containers & Transport - Raleigh NC","Tracked Skid Steer, 1700 lbs",2025-12-19,2025-12-19,2025-12-20,275
PUAE8CH,"Milam Rental LLC - Sutherlin VA","Articulated Dump Truck, 30 ton+",2025-12-19,2026-01-05,2026-02-02,11000
HJKAVW4,"LGP Equipment Rentals - Bell Gardens CA","Wheel Loader, 3 yds+",2025-12-19,2025-12-19,2025-12-20,550
64DT7HT,"Best Rental Centers Inc - Altamonte Springs FL","Walk Behind Skid Steer",2025-12-18,2025-12-20,2025-12-21,275
ZGFHGRY,"Oak Grove Rentals  - Oak Grove MO","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-18,2025-12-22,2025-12-24,300
3TZUDUR,"Continental Lift Truck - New York NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-19,2025-12-25,278.6
99BXAHJ,"Rapid Rentals - Castaic CA","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-21,2025-12-22,70.7
JRETZE9,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-18,2025-12-18,2026-01-15,460
JGDZBJB,"Synergy Equipment - Austin TX","Telehandler Reach Forklift, 12000 lbs, 55 - 56 ft",2025-12-17,2025-12-22,2025-12-23,750
SP7ADSG,"NG Equipment Sales - Phoenix AZ","Mini Excavator, 3 ton",2025-12-17,2025-12-18,2026-01-14,2600
L3BASRL,"Ready Equipment Rental - San Bernardino CA","Tracked Skid Steer, 1300 lbs",2025-12-17,2025-12-18,2025-12-20,488.6
FT9U7T8,"Sunstate Equipment - Oakland CA","Pneumatic Tire Forklift, 5000 lbs",2025-12-17,2026-01-11,2026-01-15,500
UQJHJ7A,"Sunstate Equipment - Colton CA","Custom/Other",2025-12-17,2025-12-18,2026-01-15,390
7SLES7C,"South Florida Equipment Rentals - West Palm Beach FL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-17,2025-12-18,2025-12-19,350
S6Y3TJZ,"Atmosphere Rental Inc - Cambridge ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-17,2025-12-19,2026-01-16,364
RLWQXD6,"Durants Tool Rentals - New Windsor NY","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-17,2025-12-17,2025-12-18,186
6G4GGYY,"Great Rate Rentals - South Windsor CT","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-17,2025-12-18,2025-12-20,598
4L37VRU,"Stoney Creek Equipment Rentals - Hamilton ON","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-12-17,2025-12-18,2025-12-19,283
VLT4ZUZ,"V-Bar Equipment - Abilene TX","Pneumatic Tire Forklift, 5000 lbs",2025-12-16,2025-12-17,2025-12-18,225
RELKL74,"Sunstate Equipment - Atlanta GA","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-16,2025-12-17,2025-12-18,500
SZAF4L5,"Aerial Plus - Burlington ON","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-16,2025-12-17,2025-12-23,300
QLFCWR2,"Aerial Plus - Burlington ON","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-12-16,2025-12-17,2025-12-23,300
TKHWVV5,"Sunstate Equipment - Jacksonville FL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-16,2025-12-17,2026-01-16,635.2
K9KSBWX,"Stoney Creek Equipment Rentals - Hamilton ON","Articulating Boom Lift, 80 ft, Dual Fuel/Diesel",2025-12-16,2025-12-17,2025-12-18,569
YSTQK54,"101 Equipment Rentals - Santa Rosa, CA","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-16,2025-12-16,2026-02-10,1592
B53BY2Z,"South Florida Equipment Rentals - West Palm Beach FL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-12-16,2025-12-18,2025-12-19,350
AT8JDHZ,"Continental Lift Truck - New York NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-16,2025-12-22,2025-12-23,130.2
7GGWLYZ,"Sunstate Equipment - Tucson AZ","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-16,2025-12-19,2025-12-20,500
TYEBPAH,"Superior Equipment Rental - Wilmington DE","Custom/Other",2025-12-16,2025-12-17,2025-12-18,690
VESQFAV,"TEC Equipment Rental - Orangeburg SC","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-12-16,2025-12-16,2025-12-19,1340
QWPRPAB,"Sunstate Equipment - Orlando FL","Electric Scissor Lift, 40 ft (Indoor Use Only)",2025-12-16,2025-12-17,2025-12-18,260
FTRKSAQ,"Sunstate Equipment - South Fort Worth, TX","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-15,2025-12-16,2025-12-23,450
FF55724,"Central Power of St Louis MO - Maryland Heights MO","Dozer, 40,000 lbs+",2025-12-15,2025-12-17,2025-12-23,2323.29
XVH3Q6P,"Sunstate Equipment - Marietta GA","Electric Scissor Lift, 32 ft (Indoor Use Only)",2025-12-15,2025-12-16,2025-12-18,400
E8D5CVT,"Blakley Equipment Inc - Mount Vernon NY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-15,2025-12-15,2025-12-16,179
H5UA8HK,"Equipment Depot - Louisville KY","Custom/Other",2025-12-15,2026-01-10,2026-01-16,0
68TWUBS,"Equipment Depot - Louisville KY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,230
6XQDRRQ,"Equipment Depot - Louisville KY","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,230
CKSLV6U,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
A29BYPY,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
QRC8LB3,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
VWBZGHT,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
TT296KB,"Equipment Depot - Louisville KY","Electric Articulating Boom Lift, 60 ft",2025-12-15,2026-01-10,2026-01-16,1050
X58ALQP,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
R58FGCR,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
97TY8H2,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
AGASR6L,"Equipment Depot - Louisville KY","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-12-15,2026-01-10,2026-01-16,650
H3F2AGE,"St. Jacobs Property Maintenance","Tractor, 125 hp+",2025-12-15,2025-12-16,2026-04-07,19200
JR58HWF,"Tejas Equipment Rental - Alvarado TX","Custom/Other",2025-12-15,2025-12-17,2025-12-18,408
4TZ3HZR,"NG Equipment Sales - Phoenix AZ","Mini Excavator, 1.5 ton",2025-12-15,2025-12-16,2026-01-12,1238.3
U4C6SJC,"G&W Equipment - Charleston SC","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-12-12,2025-12-29,2026-01-02,665
